"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
445.908865149572,-2.34781557965027,0.140436500515494,-16.7179869267053,9.69387638269077e-63,9.04535605268876e-59,"Bta01566"
1333.44167868559,-1.18362378751605,0.080368962525679,-14.7273742290485,4.300949730476e-49,2.00660809675358e-45,"Bta04143"
7702.13149091634,-1.08344221242788,0.089727444834223,-12.0748140597296,1.43488223165749e-33,4.46296203453203e-30,"Bta08780"
981.790027047122,-1.04432787636474,0.0879196146333593,-11.8782126231988,1.53616958770858e-32,3.5834996057272e-29,"Bta11225"
1548.2744620943,-1.73970844389926,0.163418542185464,-10.6457224537278,1.82562538778435e-26,2.12936381167698e-23,"Bta11224"
476.671444655315,-1.18289304267875,0.124764269380387,-9.48102408288302,2.51799600740904e-21,1.95795172876114e-18,"Bta05911"
571.215704976704,-1.07666056857697,0.119746781809318,-8.99114408177931,2.44670056315766e-19,1.42688518467651e-16,"Bta14861"
826.489281364497,-1.36726892459689,0.155004017016435,-8.82086123259579,1.13582706273006e-18,6.23435430725539e-16,"Bta14060"
269.298538623272,-1.19557978340536,0.139652814374607,-8.56108621053859,1.11809056499537e-17,5.49100161156409e-15,"Bta01592"
221.880233607021,-1.34392747755636,0.162073002655222,-8.29211192202876,1.11255168293757e-16,4.71873625158656e-14,"Bta00254"
71.7805790373877,-2.16130614637416,0.261575063976297,-8.26266125493524,1.42460091760084e-16,5.77954398353628e-14,"Bta07301"
1703.01422908856,1.18808284432786,0.15948565570431,7.44946521416694,9.37193464785858e-14,2.4985577771191e-11,"Bta10147"
321.792641283365,-1.13507413639031,0.15637756940658,-7.25854827324458,3.91266756553524e-13,8.69264310809746e-11,"Bta01005"
104.285387146424,-1.3862346558931,0.198990388196766,-6.96633977377019,3.25292980168482e-12,6.07061759590422e-10,"Bta03997"
556.35270216249,-1.18276780332186,0.208269864770235,-5.67901556294139,1.35472154614128e-08,1.33062176284677e-06,"Bta06023"
160.700902836057,1.1211445408855,0.199418960991471,5.62205587328002,1.88698209031025e-08,1.72621861614558e-06,"Bta05340"
66.4374144776999,-1.24956267321287,0.239433162592336,-5.21883710545311,1.80050027757357e-07,1.30236186744488e-05,"Bta07125"
182.301893991728,1.66381715741247,0.370084070052799,4.49578161301321,6.93148511498428e-06,0.000320186572316427,"Bta15430"
1530.5986789319,-1.29099515299191,0.291496168498555,-4.42885805203409,9.4733344308262e-06,0.00041500320926779,"Bta13640"
270.002231310574,1.2376431240129,0.284130423930567,4.355897924945,1.32522526826571e-05,0.000557012476494925,"Bta02871"
105.734280685992,-1.22639355077541,0.292151909999854,-4.19779405438775,2.69527566316843e-05,0.00101409746826712,"Bta11980"
79.0368926465561,-1.09457675449798,0.262197481065755,-4.17462726967799,2.98474324374663e-05,0.00108791559403905,"Bta15769"
326.988789931459,1.17765965379875,0.304029007040438,3.8735108378725,0.000107278633617661,0.00318795200728153,"Bta05741"
7925.78710955178,-1.82173365201575,0.554443409643521,-3.28569808988627,0.00101729983618946,0.0193796161116981,"Bta06885"
5184.56488528145,-1.5150894553067,0.515616696839295,-2.93840262465146,0.00329908275334741,0.046527016810357,"Bta06882"
